"","person","day","cause_short","month","year","canine","dept_name","state","position"
"17904","Group Supervisor Leslie Martin Macarro","Fri","Struck by vehicle","May",1988,FALSE,"California Department of the Youth Authority"," CA","Department Supervisor"
"17905","Police Officer John W. Mathews","Sat","Assault","May",1988,FALSE,"Chicago Police Department"," IL","Police Officer"
"17906","Police Officer Kenneth L. Collings","Fri","Gunfire","May",1988,FALSE,"Phoenix Police Department"," AZ","Police Officer"
"17907","Chief of Police Ferman Raines","Sun","Automobile accident","May",1988,FALSE,"Waynesville Police Department"," MO","Chief of Police"
"17908","Patrolman Brian Jeffery Tunnell","Sun","Gunfire","Jun",1988,FALSE,"Miami Police Department"," OK","Patrolman"
"17909","Police Officer James C. Beyea","Tue","Gunfire","Jun",1988,FALSE,"Los Angeles Police Department"," CA","Police Officer"
"17910","Sergeant Francis Leo Yates","Wed","Heart attack","Jun",1988,FALSE,"Charles County Sheriff's Office"," MD","Sergeant"
"17911","Corporal James A. Ross","Fri","Gunfire","Jun",1988,FALSE,"Mammoth Police Department"," AZ","Corporal"
"17912","Officer Charles David Stegall","Tue","Vehicular assault","Jun",1988,FALSE,"Baton Rouge City Police Department"," LA","Police Officer"
"17913","Police Officer Gary L. Peaco","Thu","Automobile accident","Jun",1988,FALSE,"New York City Housing Authority Police Department"," NY","Police Officer"
"17914","Deputy Sheriff Jeffery Mark Gathings","Sun","Gunfire","Jun",1988,FALSE,"West Carroll Parish Sheriff's Office"," LA","Sheriff"
"17915","Police Officer William Don Craig","Tue","Vehicular assault","Jun",1988,FALSE,"Miami Police Department"," FL","Police Officer"
"17916","Sergeant Warren Joseph Broussard","Tue","Gunfire","Jun",1988,FALSE,"Baton Rouge City Police Department"," LA","Sergeant"
"17917","Corrections Officer Lyle Herman","Wed","Assault","Jun",1988,FALSE,"California Department of Corrections and Rehabilitation"," CA","Correctional Officer"
"17918","Officer Joel Michael Davis","Wed","Gunfire","Jun",1988,FALSE,"East Palo Alto Police Department"," CA","Police Officer"
"17919","Officer Edward A. Rebel","Tue","Gunfire","Jun",1988,FALSE,"Arizona Department of Public Safety"," AZ","Police Officer"
"17920","Detective James David Mandrell","Tue","Gunfire","Jun",1988,FALSE,"Sumner County Sheriff's Department"," TN","Detective"
"17921","Deputy Vernon P. Marconnet","Thu","Gunfire","Jun",1988,FALSE,"Maricopa County Sheriff's Office"," AZ","Deputy"
"17922","Police Officer Scott Richard Rakow","Thu","Gunfire","Jun",1988,FALSE,"Miami Beach Police Department"," FL","Police Officer"
"17923","Trooper Wilson A. Atkins, Jr.","Sun","Struck by vehicle","Jul",1988,FALSE,"Arkansas State Police"," AR","Trooper"
"17924","Police Officer Herbert Lee Evans, Jr.","Sun","Gunfire (Accidental)","Jul",1988,FALSE,"Augusta Police Department"," GA","Police Officer"
"17925","Chief of Police Gregory Lynn Lange","Tue","Gunfire","Jul",1988,FALSE,"Claremont Police Department"," MN","Chief of Police"
"17926","Patrolman Edwyn Joseph Gorrell","Tue","Gunfire","Jul",1988,FALSE,"San Antonio Police Department"," TX","Patrolman"
"17927","Senior Court Clerk Alphonso B. Deal","Thu","Gunfire","Jul",1988,FALSE,"New York State Office of Court Administration"," NY","Clerk"
"17928","Police Officer Ernest Kearns Ponce de Leon","Fri","Gunfire","Jul",1988,FALSE,"Tallahassee Police Department"," FL","Police Officer"
"17929","Sergeant Thomas Arlen Richmond","Wed","Gunfire","Jul",1988,FALSE,"Mesilla Marshal's Office"," NM","Sergeant"
"17930","Officer Elston Morris Howard","Wed","Gunfire","Jul",1988,FALSE,"Houston Police Department"," TX","Police Officer"
"17931","Chief of Police William R. Davies","Thu","Automobile accident","Jul",1988,FALSE,"Grottoes Police Department"," VA","Chief of Police"
"17932","Trooper Michael L. Martin","Fri","Vehicle pursuit","Jul",1988,FALSE,"North Carolina Highway Patrol"," NC","Trooper"
"17933","Police Officer David R. Payne","Sat","Gunfire","Jul",1988,FALSE,"Lewiston Police Department"," ME","Police Officer"
"17934","Police Officer Leroy Andrew Pine, Jr.","Sat","Vehicular assault","Jul",1988,FALSE,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement"," US","Police Officer"
"17935","Sergeant John David Conner, III","Sun","Gunfire","Jul",1988,FALSE,"Manassas Police Department"," VA","Sergeant"
"17936","Police Officer Ronald Hearn","Mon","Gunfire","Jul",1988,FALSE,"United States Department of Veterans Affairs Police Services"," US","Police Officer"
"17937","Deputy Sheriff Clark Harold Henry","Mon","Automobile accident","Jul",1988,FALSE,"Harris County Sheriff's Office"," TX","Sheriff"
"17938","Town Marshal Bobby R. Moore, Sr.","Tue","Gunfire","Jul",1988,FALSE,"Fremont Police Department"," IN","Marshal"
"17939","Corporal David Wayne Moss","Sat","Gunfire","Jul",1988,FALSE,"Williston Police Department"," FL","Corporal"
"17940","Officer James William Bloesch","Tue","Gunfire (Accidental)","Aug",1988,FALSE,"San Francisco Police Department"," CA","Police Officer"
"17941","Deputy Sheriff Donald Francis Reimann","Tue","Heart attack","Aug",1988,FALSE,"Carver County Sheriff's Department"," MN","Sheriff"
"17942","Officer Walter Leon Williams","Tue","Gunfire","Aug",1988,FALSE,"Dallas Police Department"," TX","Police Officer"
"17943","Trooper Wendy G. Everett","Fri","Struck by vehicle","Aug",1988,FALSE,"Ohio State Highway Patrol"," OH","Trooper"
"17944","Patrolman Jack G. Martin","Tue","Heart attack","Aug",1988,FALSE,"Lynden Police Department"," WA","Patrolman"
"17945","Sergeant Ricardo Michael Preston","Thu","Heart attack","Aug",1988,FALSE,"United States Department of the Interior - United States Park Police"," US","Sergeant"
"17946","Deputy U.S. Marshal Emil Richard Wehrli","Thu","Heart attack","Aug",1988,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"17947","Sergeant Joe F. Gurney","Fri","Animal related","Aug",1988,FALSE,"Texas Department of Criminal Justice"," TX","Sergeant"
"17948","Police Officer Joseph Galapo","Tue","Gunfire (Accidental)","Aug",1988,FALSE,"New York City Police Department"," NY","Police Officer"
"17949","Reserve Deputy Sheriff John Wesley Wright","Tue","Gunfire (Accidental)","Aug",1988,FALSE,"Hawkins County Sheriff's Department"," TN","Sheriff"
"17950","Trooper Jacqueline Vernon","Tue","Struck by vehicle","Aug",1988,FALSE,"Virginia State Police"," VA","Trooper"
"17951","Deputy Sheriff Tim Hudson","Sat","Gunfire","Aug",1988,FALSE,"Pecos County Sheriff's Department"," TX","Sheriff"
"17952","Police Officer Brian Heywood Chappell","Mon","Gunfire","Aug",1988,FALSE,"West Palm Beach Police Department"," FL","Police Officer"
"17953","Police Officer Edward William Clavell, Jr.","Tue","Automobile accident","Aug",1988,FALSE,"Seal Beach Police Department"," CA","Police Officer"
"17954","Officer Matt John Faber","Tue","Gunfire","Aug",1988,FALSE,"Indianapolis Police Department"," IN","Police Officer"
