"","person","day","cause_short","month","year","canine","dept_name","state","position"
"4889","Night Officer Ben Foret Ray","Sun","Gunfire","Dec",1920,FALSE,"Sour Lake Police Department"," TX","Police Officer"
"4890","Patrolman Aylmer Ragland","Mon","Gunfire","Dec",1920,FALSE,"Jonesboro Police Department"," AR","Patrolman"
"4891","Deputy Sheriff Willie Pickett Giddens","Tue","Gunfire","Dec",1920,FALSE,"Worth County Sheriff's Office"," GA","Sheriff"
"4892","Sheriff Frank Blizard","Thu","Explosion","Dec",1920,FALSE,"Elk County Sheriff's Office"," KS","Sheriff"
"4893","Patrolman Joseph C. Wallis","Sat","Motorcycle accident","Jan",1921,FALSE,"New York City Police Department"," NY","Patrolman"
"4894","Detective Thomas Fletcher Thompson","Sun","Gunfire","Jan",1921,FALSE,"Macon Police Department"," GA","Detective"
"4895","Patrolman John J. Mullen","Tue","Gunfire","Jan",1921,FALSE,"Chicago Police Department"," IL","Patrolman"
"4896","Park Policeman Martin J. Collins","Tue","Vehicular assault","Jan",1921,FALSE,"South Park District Police Department"," IL","Police Officer"
"4897","Patrolman Fred E. Buhland","Mon","Gunfire","Jan",1921,FALSE,"South Bend Police Department"," IN","Patrolman"
"4898","Deputy Sheriff Walter Deal","Mon","Gunfire","Jan",1921,FALSE,"Pike County Sheriff's Department"," KY","Sheriff"
"4899","Night Marshal Cyrus M. Spangler","Tue","Gunfire","Jan",1921,FALSE,"Tempe Police Department"," AZ","Marshal"
"4900","Marshal John W. Reives","Fri","Gunfire","Jan",1921,FALSE,"Redding Police Department"," CA","Marshal"
"4901","Traffic Officer Wellington L. Aubery","Fri","Vehicle pursuit","Jan",1921,FALSE,"Fresno County District Attorney's Office"," CA","Police Officer"
"4902","Police Officer Volney L. Stevens","Fri","Gunfire","Jan",1921,FALSE,"Seattle Police Department"," WA","Police Officer"
"4903","Detective Louis F. Schroeder","Mon","Gunfire","Jan",1921,FALSE,"New York Central Railroad Police Department"," RR","Detective"
"4904","Detective Augustus E. Long","Mon","Gunfire","Jan",1921,FALSE,"New York Central Railroad Police Department"," RR","Detective"
"4905","Policeman Edward W. Holtry","Mon","Fall","Jan",1921,FALSE,"Philadelphia Police Department"," PA","Police Officer"
"4906","Patrolman Thomas F. Prince","Mon","Struck by train","Jan",1921,FALSE,"Pennsylvania Railroad Police Department"," RR","Patrolman"
"4907","Special Officer Frank L. Cornelius","Thu","Gunfire","Jan",1921,FALSE,"Atchison, Topeka and Santa Fe Railroad Police Department"," RR","Police Officer"
"4908","Sheriff John Monroe Summerlin","Fri","Struck by train","Jan",1921,FALSE,"Okaloosa County Sheriff's Office"," FL","Sheriff"
"4909","Patrolman Lee S. Fahler","Fri","Gunfire","Jan",1921,FALSE,"Minot Police Department"," ND","Patrolman"
"4910","Detective James J. O'Brien","Fri","Gunfire","Jan",1921,FALSE,"Seattle Police Department"," WA","Detective"
"4911","Police Officer Neil McMillan","Fri","Gunfire","Jan",1921,FALSE,"Seattle Police Department"," WA","Police Officer"
"4912","Deputy Sheriff Don Stephenson","Sat","Gunfire","Jan",1921,FALSE,"Colbert County Sheriff's Department"," AL","Sheriff"
"4913","Police Officer William T. Angle","Sat","Gunfire","Jan",1921,FALSE,"Seattle Police Department"," WA","Police Officer"
"4914","Officer Thomas Hanna","Sun","Gunfire","Jan",1921,FALSE,"San Francisco Police Department"," CA","Police Officer"
"4915","Deputy Sheriff Tucker Headrick","Sun","Gunfire","Jan",1921,FALSE,"Polk County Sheriff's Department"," TN","Sheriff"
"4916","Deputy Sheriff Malcon N. Blue","Fri","Gunfire","Jan",1921,FALSE,"Cumberland County Sheriff's Office"," NC","Sheriff"
"4917","Policeman William J. Davis","Sat","Gunfire","Jan",1921,FALSE,"Philadelphia Police Department"," PA","Police Officer"
"4918","Patrolman Joseph Henry Bossert","Sat","Gunfire","Jan",1921,FALSE,"Jeannette City Police Department"," PA","Patrolman"
"4919","City Marshal Frank O. Real","Sun","Gunfire","Jan",1921,FALSE,"Los Banos Police Department"," CA","Marshal"
"4920","Detective Lieutenant Philip Ellenstein","Mon","Gunfire","Jan",1921,FALSE,"Detroit Police Department"," MI","Lieutenant"
"4921","Detective Arthur G. Cooper","Tue","Gunfire","Feb",1921,FALSE,"Omaha Police Department"," NE","Detective"
"4922","Detective Lieutenant David Morris","Wed","Gunfire","Feb",1921,FALSE,"Detroit Police Department"," MI","Lieutenant"
"4923","Police Officer William G. Pate","Sat","Gunfire","Feb",1921,FALSE,"Columbus Police Department"," GA","Police Officer"
"4924","Detective Green B. Hamby","Tue","Gunfire","Feb",1921,FALSE,"Salt Lake City Police Department"," UT","Detective"
"4925","Keeper Robert M. Pedrick","Wed","Assault","Feb",1921,FALSE,"Millville Police Department"," NJ","Keeper"
"4926","Patrolman Willard C. Bayne","Fri","Gunfire","Feb",1921,FALSE,"Kansas City Police Department"," MO","Patrolman"
"4927","Officer Eugene Hobbs","Sat","Stabbed","Feb",1921,FALSE,"Talladega Police Department"," AL","Police Officer"
"4928","Patrolman Albert Block","Sat","Fall","Feb",1921,FALSE,"Cleveland Police Department"," OH","Patrolman"
"4929","Deputy Sheriff Albert Patton","Sun","Gunfire","Feb",1921,FALSE,"Page County Sheriff's Department"," IA","Sheriff"
"4930","Deputy Sheriff James D. Snider","Sun","Assault","Feb",1921,FALSE,"Osage County Sheriff's Office"," OK","Sheriff"
"4931","Patrolman John Sheridan","Mon","Vehicular assault","Feb",1921,FALSE,"New York City Police Department"," NY","Patrolman"
"4932","Detective Sergeant Joseph Bridgetts","Thu","Gunfire","Feb",1921,FALSE,"New York City Police Department"," NY","Detective"
"4933","Policeman William O. Steam","Fri","Gunfire","Feb",1921,FALSE,"Denver Police Department"," CO","Police Officer"
"4934","Detective Johnnie Davidson","Sat","Gunfire","Feb",1921,FALSE,"Houston Police Department"," TX","Detective"
"4935","Chief of Police John J. Sturgus","Sun","Gunfire","Feb",1921,FALSE,"Anchorage Police Department"," AK","Chief of Police"
"4936","Patrolman George Smith","Sun","Struck by streetcar","Feb",1921,FALSE,"New York City Police Department"," NY","Patrolman"
"4937","Officer Preston E. Bradley","Mon","Vehicular assault","Feb",1921,FALSE,"Metropolitan Police Department"," DC","Police Officer"
"4938","Marshal Walter W. Wood","Fri","Electrocuted","Feb",1921,FALSE,"Dallas Marshal's Office"," SD","Marshal"
"4939","Patrolman Jesse Reall","Sat","Gunfire","Feb",1921,FALSE,"Columbus Division of Police"," OH","Patrolman"
"4940","Officer Samuel C. Hayden","Sun","Gunfire","Feb",1921,FALSE,"Metropolitan Police Department"," DC","Police Officer"
"4941","Officer Willis Martin","Sun","Gunfire","Feb",1921,FALSE,"Cape Girardeau Police Department"," MO","Police Officer"
"4942","Deputy Sheriff John L. Ivey","Mon","Gunfire","Feb",1921,FALSE,"Jackson County Sheriff's Department"," FL","Sheriff"
"4943","Deputy Sheriff William Johnson Tabor","Thu","Gunfire","Mar",1921,FALSE,"McDowell County Sheriff's Department"," WV","Sheriff"
"4944","Federal Prohibition Agent Ernest Walter Walker","Sat","Gunfire","Mar",1921,FALSE,"United States Department of the Treasury - Internal Revenue Service - Prohibition Unit"," US","Agent"
"4945","Chief of Police John Raymond Nelson","Sun","Gunfire","Mar",1921,FALSE,"Winnemucca Police Department"," NV","Chief of Police"
"4946","Chief Walter C. Holcombe","Mon","Gunfire","Mar",1921,FALSE,"Easley Police Department"," SC","Chief of Police"
"4947","Deputy Sheriff Peter Gus Nebhut","Fri","Gunfire","Mar",1921,FALSE,"Pontotoc County Sheriff's Office"," OK","Sheriff"
"4948","Trooper Harold Anderson","Sat","Gunfire","Mar",1921,FALSE,"Michigan State Police"," MI","Trooper"
"4949","Deputy Sheriff John Luff Owens","Sun","Gunfire","Mar",1921,FALSE,"Gadsden County Sheriff's Office"," FL","Sheriff"
"4950","Police Officer Herbert J. Bischoff","Sun","Gunfire","Mar",1921,FALSE,"Detroit Police Department"," MI","Police Officer"
"4951","Patrolman Joseph S. Lee","Sat","Vehicle pursuit","Mar",1921,FALSE,"San Diego Police Department"," CA","Patrolman"
"4952","Deputy Constable Levi L. Mason","Mon","Gunfire","Mar",1921,FALSE,"Bell County Constable's Office"," KY","Constable"
"4953","Federal Prohibition Agent Stafford E. Beckett","Mon","Gunfire","Mar",1921,FALSE,"United States Department of the Treasury - Internal Revenue Service - Prohibition Unit"," US","Agent"
"4954","Narcotics Inspector Charles Archibold ""Arch"" Wood","Mon","Gunfire","Mar",1921,FALSE,"United States Department of the Treasury - Prohibition Service"," US","Inspector"
"4955","Constable H. Richard Bennett","Wed","Gunfire","Mar",1921,FALSE,"Lawtey Police Department"," FL","Constable"
"4956","Detective Patrolman Patrick J. O'Neill","Wed","Gunfire","Mar",1921,FALSE,"Chicago Police Department"," IL","Detective"
"4957","Deputy Marshal Limus Walter Moak","Wed","Assault","Mar",1921,FALSE,"Amite Police Department"," LA","Marshal"
"4958","Patrolman August E. Dyke","Thu","Gunfire","Mar",1921,FALSE,"Cleveland Police Department"," OH","Patrolman"
"4959","Sheriff William Robert Monroe","Fri","Explosion","Mar",1921,FALSE,"St. Lucie County Sheriff's Office"," FL","Sheriff"
"4960","Patrolman Walter H. Marlow","Sun","Gunfire","Mar",1921,FALSE,"Savannah Police Department"," GA","Patrolman"
"4961","Patrolman Joseph L. Connelly","Sun","Gunfire","Mar",1921,FALSE,"New York City Police Department"," NY","Patrolman"
"4962","Police Officer Hugh J. Ennis","Mon","Struck by train","Mar",1921,FALSE,"Chicago and Northwestern Railroad Police Department"," RR","Police Officer"
"4963","Night Marshal John Kerr Myers","Wed","Gunfire","Mar",1921,FALSE,"Stuart Police Department"," IA","Marshal"
"4964","Federal Prohibition Agent Jacob F. Green","Fri","Gunfire","Apr",1921,FALSE,"United States Department of the Treasury - Internal Revenue Service - Prohibition Unit"," US","Agent"
"4965","Policeman Clarence E. Zietz","Sat","Automobile accident","Apr",1921,FALSE,"Denver Police Department"," CO","Police Officer"
"4966","Jailer Bentura Bencomo","Sat","Assault","Apr",1921,FALSE,"Grant County Sheriff's Office"," NM","Jailer"
"4967","Policeman Forrest Ross","Mon","Automobile accident","Apr",1921,FALSE,"Denver Police Department"," CO","Police Officer"
"4968","City Marshal John Henry Lindamood","Fri","Gunfire","Apr",1921,FALSE,"Fountain Police Department"," CO","Marshal"
"4969","Patrolman James A. Preston","Sat","Gunfire","Apr",1921,FALSE,"Wakefield Police Department"," MA","Patrolman"
"4970","Patrolman Ward M. Bray","Thu","Motorcycle accident","Apr",1921,FALSE,"Boston Police Department"," MA","Patrolman"
"4971","Chief J. E. Taylor","Sat","Gunfire","Apr",1921,FALSE,"Thomasville Police Department"," NC","Chief of Police"
"4972","Police Officer John J. Boss","Tue","Motorcycle accident","Apr",1921,FALSE,"Oak Park Police Department"," IL","Police Officer"
"4973","Patrolman Elmer Sprosty","Thu","Gunfire","Apr",1921,FALSE,"Cleveland Police Department"," OH","Patrolman"
"4974","Chief of Police George Riehm","Fri","Gunfire","Apr",1921,FALSE,"West Chicago Police Department"," IL","Chief of Police"
"4975","Federal Prohibition Agent Irby U. Scruggs","Sat","Gunfire","Apr",1921,FALSE,"United States Department of the Treasury - Internal Revenue Service - Prohibition Unit"," US","Agent"
"4976","Federal Prohibition Agent John Watson","Mon","Gunfire","May",1921,FALSE,"United States Department of the Treasury - Internal Revenue Service - Prohibition Unit"," US","Agent"
"4977","Patrolman William J. Johnston","Mon","Struck by streetcar","May",1921,FALSE,"Pittsburgh Police Department"," PA","Patrolman"
"4978","Patrolman George Spencer","Tue","Gunfire","May",1921,FALSE,"Michigan City Police Department"," IN","Patrolman"
"4979","Captain Joseph O. Zimmerman","Tue","Gunfire","May",1921,FALSE,"Michigan City Police Department"," IN","Captain"
"4980","Patrolman John H. Conk","Tue","Animal related","May",1921,FALSE,"New York City Police Department"," NY","Patrolman"
"4981","Patrolman Alexander Warren","Tue","Gunfire","May",1921,FALSE,"Youngstown Police Department"," OH","Patrolman"
"4982","Officer William T. McCuiston","Wed","Gunfire","May",1921,FALSE,"Greensboro Police Department"," NC","Police Officer"
"4983","Officer George Staples Burroughs","Fri","Gunfire","May",1921,FALSE,"Greenville Police Department"," SC","Police Officer"
"4984","Custody Officer John H. Grimm","Sun","Assault","May",1921,FALSE,"Indiana Department of Correction"," IN","Police Officer"
"4985","Patrolman James Frank Lewis","Mon","Struck by vehicle","May",1921,FALSE,"Etna Borough Police Department"," PA","Patrolman"
"4986","Patrolman Charles Manzel","Mon","Gunfire","May",1921,FALSE,"Ogden Police Department"," UT","Patrolman"
"4987","Correctional Officer Robert L. Taylor","Wed","Stabbed","May",1921,FALSE,"Nebraska Department of Correctional Services"," NE","Correctional Officer"
"4988","Deputy Sheriff James Sam Shelley","Wed","Gunfire","May",1921,FALSE,"Osage County Sheriff's Office"," OK","Sheriff"
"4989","Deputy Sheriff James Albert Kempson","Sat","Gunfire","May",1921,FALSE,"Coweta County Sheriff's Office"," GA","Sheriff"
"4990","Officer Robert L. Burden","Mon","Gunfire","May",1921,FALSE,"Okmulgee Police Department"," OK","Police Officer"
"4991","Patrolman George Geng","Tue","Motorcycle accident","May",1921,FALSE,"Grand Rapids Police Department"," MI","Patrolman"
"4992","Park Policeman Andrew Frederick Hartwick","Thu","Gunfire","May",1921,FALSE,"Topeka Police Department"," KS","Police Officer"
"4993","County Policeman George W. Crawford","Sat","Gunfire","May",1921,FALSE,"Laurens County Police Department"," GA","Police Officer"
"4994","Deputy Marshal John Francis Conway","Sat","Gunfire","May",1921,FALSE,"Carroll Police Department"," IA","Marshal"
"4995","Officer Frank Angelo Croff","Sun","Vehicular assault","May",1921,FALSE,"Miami Police Department"," FL","Police Officer"
"4996","Special Officer Michael J. Finn","Mon","Gunfire","May",1921,FALSE,"St. Louis Metropolitan Police Department"," MO","Police Officer"
"4997","Private Charles M. Kackley","Wed","Gunfire","May",1921,FALSE,"West Virginia State Police"," WV","Private"
"4998","Patrolman Pat Manning","Fri","Heart attack","May",1921,FALSE,"New Orleans Police Department"," LA","Patrolman"
"4999","Sheriff Albert G. Catron","Sat","Gunfire","May",1921,FALSE,"Walker County Sheriff's Office"," GA","Sheriff"
"5000","Assistant Marshal Albert Schmitt","Sat","Vehicular assault","May",1921,FALSE,"Cheviot Police Department"," OH","Marshal"
"5001","Chief of Police Worley H. Wells","Sat","Gunfire","May",1921,FALSE,"Norton Police Department"," VA","Chief of Police"
"5002","Officer Andrew C. Calhoun","Sun","Motorcycle accident","May",1921,FALSE,"Greensboro Police Department"," NC","Police Officer"
"5003","Policeman Arthur J. Pinkerton","Mon","Electrocuted","May",1921,FALSE,"Denver Police Department"," CO","Police Officer"
"5004","Night Officer D. Frank Pincin","Tue","Gunfire","May",1921,FALSE,"Mount Union Borough Police Department"," PA","Police Officer"
"5005","Patrolman Joseph Kurtz","Tue","Gunfire","Jun",1921,FALSE,"Chicago Police Department"," IL","Patrolman"
"5006","Marshal James S. Thomas","Wed","Gunfire","Jun",1921,FALSE,"Baldwin Police Department"," FL","Marshal"
"5007","Patrolman Harold Mosbrugger","Thu","Gunfire","Jun",1921,FALSE,"Toledo Police Department"," OH","Patrolman"
"5008","Patrolman Harry Dowell","Thu","Gunfire","Jun",1921,FALSE,"Toledo Police Department"," OH","Patrolman"
"5009","Police Officer Ernest T. Griffin","Sun","Vehicular assault","Jun",1921,FALSE,"Syracuse Police Department"," NY","Police Officer"
"5010","Patrolman Ross Ball Hinds","Sun","Struck by train","Jun",1921,FALSE,"Knoxville Police Department"," TN","Patrolman"
"5011","Captain Harry Phoenix","Mon","Gunfire","Jun",1921,FALSE,"El Paso Police Department"," TX","Captain"
"5012","Special Agent James Harris ""Buck"" Phillips","Tue","Gunfire","Jun",1921,FALSE,"Union Pacific Railroad Police Department"," RR","Special Agent"
"5013","Police Officer John P. Jones","Tue","Gunfire","Jun",1921,FALSE,"Danville Police Department"," VA","Police Officer"
"5014","Town Constable Mahlon Pascal Johnson","Tue","Gunfire","Jun",1921,FALSE,"Waverly Town Police Department"," WA","Constable"
"5015","Patrolman Thomas W. Burke","Thu","Vehicle pursuit","Jun",1921,FALSE,"Chicago Police Department"," IL","Patrolman"
"5016","Detective Sergeant John Fitzgerald","Sat","Gunfire","Jun",1921,FALSE,"Los Angeles Police Department"," CA","Detective"
"5017","Officer Jeter Young","Sun","Vehicular assault","Jun",1921,FALSE,"Houston Police Department"," TX","Police Officer"
"5018","Deputy Sheriff Robert Edward Arnow","Mon","Gunfire","Jun",1921,FALSE,"Alachua County Sheriff's Office"," FL","Sheriff"
"5019","Patrolman James W. Duggan","Wed","Gunfire","Jun",1921,FALSE,"Chattanooga Police Department"," TN","Patrolman"
"5020","Deputy Sheriff Nathaniel J. ""Nat"" Alford","Fri","Automobile accident","Jun",1921,FALSE,"Milam County Sheriff's Office"," TX","Sheriff"
"5021","Police Officer Dave Murdock","Mon","Gunfire","Jun",1921,FALSE,"Houston Police Department"," TX","Police Officer"
"5022","Private William L. McMillion","Tue","Gunfire","Jun",1921,FALSE,"West Virginia State Police"," WV","Private"
"5023","Deputy U.S. Marshal Hugh J. Bartley","Thu","Automobile accident","Jun",1921,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"5024","Undersheriff Edward Frank Bowers, Jr.","Fri","Gunfire","Jul",1921,FALSE,"Yavapai County Sheriff's Office"," AZ","Sheriff"
"5025","Guard Earl W. Darby","Fri","Gunfire (Accidental)","Jul",1921,FALSE,"Tarrant County Convict Camp"," TX","Guard"
"5026","Town Sergeant John Mosley Yost","Sat","Assault","Jul",1921,FALSE,"Richlands Police Department"," VA","Sergeant"
"5027","Inspector William M. Moher","Sun","Gunfire","Jul",1921,FALSE,"Manchester Police Department"," NH","Inspector"
"5028","Patrolman Doc Lefler","Mon","Gunfire","Jul",1921,FALSE,"Ashland Police Department"," KY","Patrolman"
"5029","Sheriff George W. Huffaker","Fri","Automobile accident","Jul",1921,FALSE,"Lewis and Clark County Sheriff's Office"," MT","Sheriff"
"5030","Deputy Sheriff Charles J. Kammerlohr","Fri","Gunfire","Jul",1921,FALSE,"Oneida County Sheriff's Office"," NY","Sheriff"
"5031","Special Deputy Samuel John Mautz","Mon","Gunfire","Jul",1921,FALSE,"Franklin County Sheriff's Office"," OH","Deputy"
"5032","Chief of Police William R. Holcomb","Fri","Gunfire","Jul",1921,FALSE,"Lynch Police Department"," KY","Chief of Police"
"5033","Policeman James C. Coldiron","Fri","Gunfire","Jul",1921,FALSE,"Lynch Police Department"," KY","Police Officer"
"5034","Federal Prohibition Agent Charles Edward Howell","Sun","Gunfire","Jul",1921,FALSE,"United States Department of the Treasury - Internal Revenue Service - Prohibition Unit"," US","Agent"
"5035","Patrolman Carl J. Bickett","Mon","Gunfire","Jul",1921,FALSE,"Kansas City Police Department"," MO","Patrolman"
"5036","Deputy Constable James H. Turner","Mon","Gunfire","Jul",1921,FALSE,"Benton Police Department"," MO","Constable"
"5037","Patrolman Charles W. Mathews","Tue","Struck by vehicle","Jul",1921,FALSE,"Natick Police Department"," MA","Patrolman"
"5038","Game Warden Arthur G. Deag","Tue","Drowned","Jul",1921,FALSE,"Maine Department of Inland Fisheries and Wildlife - Warden Service"," ME","Warden"
"5039","Deputy Sheriff W. A. ""Dick"" Worley","Thu","Gunfire","Jul",1921,FALSE,"Stephens County Sheriff's Office"," OK","Sheriff"
"5040","Patrolman James H. Johnson","Thu","Gunfire","Jul",1921,FALSE,"Nashville City Police Department"," TN","Patrolman"
"5041","Deputy Sheriff Alfred Jackson Pate","Fri","Gunfire","Jul",1921,FALSE,"Cumberland County Sheriff's Office"," NC","Sheriff"
"5042","Patrolman Charles D. Potter","Fri","Drowned","Jul",1921,FALSE,"New York City Police Department"," NY","Patrolman"
"5043","Deputy Sheriff Green Watkins","Sat","Gunfire","Jul",1921,FALSE,"Breathitt County Sheriff's Office"," KY","Sheriff"
"5044","Deputy Sheriff Verner J. Yarborough","Mon","Gunfire","Jul",1921,FALSE,"Fulton County Sheriff's Office"," GA","Sheriff"
"5045","Chief of Police Elmer Sundby","Tue","Gunfire","Jul",1921,FALSE,"Eau Claire Police Department"," WI","Chief of Police"
"5046","Deputy Sheriff James Franklin Chatfield","Thu","Gunfire","Jul",1921,FALSE,"Whatcom County Sheriff's Office"," WA","Sheriff"
"5047","Officer Francis Wilson","Fri","Gunfire","Jul",1921,FALSE,"Cedar Rapids Police Department"," IA","Police Officer"
"5048","Police Officer Maurice Leahy, Jr.","Fri","Gunfire","Jul",1921,FALSE,"Chicago and Northwestern Railroad Police Department"," RR","Police Officer"
"5049","Deputy Sheriff Laurence Finley","Sat","Gunfire","Jul",1921,FALSE,"Logan County Sheriff's Office"," WV","Sheriff"
"5050","Patrolman William Kress","Mon","Gunfire","Aug",1921,FALSE,"Toledo Police Department"," OH","Patrolman"
"5051","Sheriff Jim Marion Williams","Wed","Gunfire","Aug",1921,FALSE,"Johnston County Sheriff's Office"," OK","Sheriff"
"5052","City Marshal Lee Franklin Isbell","Fri","Gunfire","Aug",1921,FALSE,"Richfield Police Department"," UT","Marshal"
"5053","Police Officer Harold J. Mosman","Tue","Motorcycle accident","Aug",1921,FALSE,"Lewiston Police Department"," ID","Police Officer"
"5054","Special Officer Peter Kozlowski","Tue","Gunfire","Aug",1921,FALSE,"Mount Carmel Borough Police Department"," PA","Police Officer"
"5055","Lieutenant Vincent Lucarini","Wed","Gunfire (Accidental)","Aug",1921,FALSE,"Memphis Police Department"," TN","Lieutenant"
"5056","Patrolman Polk C. Caraway","Wed","Gunfire","Aug",1921,FALSE,"Memphis Police Department"," TN","Patrolman"
"5057","Patrolman Andrew B. Cuneo","Sat","Gunfire","Aug",1921,FALSE,"Boston Police Department"," MA","Patrolman"
"5058","Officer John D. Bell","Sat","Motorcycle accident","Aug",1921,FALSE,"Fort Worth Police Department"," TX","Police Officer"
"5059","Policeman Henry Frank Brown","Mon","Gunfire","Aug",1921,FALSE,"Columbia Police Department"," SC","Police Officer"
"5060","Police Officer William Washington Moore","Tue","Gunfire","Aug",1921,FALSE,"Augusta Police Department"," GA","Police Officer"
"5061","Sergeant Walter Major","Tue","Gunfire (Accidental)","Aug",1921,FALSE,"Albany Police Department"," NY","Sergeant"
"5062","Special Deputy Sheriff Charles  Watson","Thu","Gunfire","Aug",1921,FALSE,"Cherokee County Sheriff's Office"," NC","Sheriff"
"5063","Sheriff Edmund Guy McMartin","Sat","Gunfire","Aug",1921,FALSE,"Ventura County Sheriff's Office"," CA","Sheriff"
"5064","City Marshal William E. Kelly","Sat","Gunfire","Aug",1921,FALSE,"Oxnard Police Department"," CA","Marshal"
"5065","Special Deputy Sheriff Allen Dean","Sat","Gunfire","Aug",1921,FALSE,"Cherokee County Sheriff's Office"," NC","Sheriff"
"5066","Patrolman James Flint","Sun","Stabbed","Aug",1921,FALSE,"Buena Vista Police Department"," VA","Patrolman"
"5067","Officer Washington J. Curtis","Sun","Gunfire","Aug",1921,FALSE,"Richmond Police Department"," VA","Police Officer"
"5068","Patrolman Winfield S. Willis","Mon","Gunfire","Aug",1921,FALSE,"Buffalo Police Department"," NY","Patrolman"
"5069","Deputy Sheriff C. P. McDonald","Mon","Gunfire","Aug",1921,FALSE,"Campbell County Sheriff's Office"," TN","Sheriff"
"5070","Deputy Sheriff Andrew J. Wortham","Mon","Gunfire","Aug",1921,FALSE,"Campbell County Sheriff's Office"," TN","Sheriff"
"5071","Sheriff John Wesley Roberson","Tue","Gunfire","Aug",1921,FALSE,"Pierce County Sheriff's Office"," GA","Sheriff"
"5072","Sergeant Thomas J. Egan","Thu","Gunfire","Aug",1921,FALSE,"Chicago Police Department"," IL","Sergeant"
"5073","Federal Prohibition Agent John Harvey Reynolds","Fri","Gunfire","Aug",1921,FALSE,"United States Department of the Treasury - Internal Revenue Service - Prohibition Unit"," US","Agent"
"5074","Chief of Police James Melvin","Fri","Gunfire","Aug",1921,FALSE,"Paintsville Police Department"," KY","Chief of Police"
"5075","Marshal Rueben T. Jones","Sat","Gunfire","Aug",1921,FALSE,"Tarpon Springs Police Department"," FL","Marshal"
"5076","Deputy Sheriff George Clem Douglas","Sat","Gunfire","Aug",1921,FALSE,"Palm Beach County Sheriff's Office"," FL","Sheriff"
"5077","Patrolman Daniel J. Neville","Sat","Gunfire","Aug",1921,FALSE,"New York City Police Department"," NY","Patrolman"
"5078","Sergeant Fred M. Krueger","Sun","Motorcycle accident","Aug",1921,FALSE,"Oak Park Police Department"," IL","Sergeant"
"5079","Private George A. Duling","Sun","Gunfire (Accidental)","Aug",1921,FALSE,"West Virginia State Police"," WV","Private"
"5080","Special Officer Charles Sherman Patterson","Mon","Gunfire (Accidental)","Aug",1921,FALSE,"Atchison, Topeka and Santa Fe Railroad Police Department"," RR","Police Officer"
"5081","Special Officer Thomas McMillin","Mon","Gunfire","Aug",1921,FALSE,"Atchison, Topeka and Santa Fe Railroad Police Department"," RR","Police Officer"
"5082","Constable William F. Cramer","Mon","Gunfire","Aug",1921,FALSE,"Camden Constable's Office"," NJ","Constable"
"5083","Deputy Sheriff John Gore","Wed","Gunfire","Aug",1921,FALSE,"Logan County Sheriff's Office"," WV","Sheriff"
"5084","Deputy Sheriff George Edward Price","Wed","Gunfire","Aug",1921,FALSE,"Hot Springs County Sheriff's Office"," WY","Sheriff"
"5085","Patrolman James E. Elder","Thu","Automobile accident","Sep",1921,FALSE,"Louisville Police Department"," KY","Patrolman"
"5086","Acting Sergeant James N. Brink","Thu","Motorcycle accident","Sep",1921,FALSE,"Kansas City Police Department"," MO","Sergeant"
"5087","Constable Thomas Ulsh","Thu","Gunfire","Sep",1921,FALSE,"Pennsylvania State Constable - Perry County"," PA","Constable"
"5088","Sergeant J. L. Bell","Thu","Stabbed","Sep",1921,FALSE,"Memphis Police Department"," TN","Sergeant"
"5089","Chief of Police Florance J. O'Sullivan","Fri","Motorcycle accident","Sep",1921,FALSE,"Scotch Plains Police Department"," NJ","Chief of Police"
"5090","Patrolman David Bennett Hill","Sat","Struck by vehicle","Sep",1921,FALSE,"St. Johnsville Police Department"," NY","Patrolman"
"5091","Police Officer Alonzo H. ""Lonnie"" Garwood","Sun","Motorcycle accident","Sep",1921,FALSE,"Culver City Police Department"," CA","Police Officer"
"5092","Patrolman William Kohrt","Thu","Gunfire","Sep",1921,FALSE,"Hibbing Police Department"," MN","Patrolman"
"5093","Chief of Police Daniel Hayes","Thu","Gunfire","Sep",1921,FALSE,"Hibbing Police Department"," MN","Chief of Police"
"5094","Detective Eugene Cassidy","Thu","Gunfire","Sep",1921,FALSE,"Hibbing Police Department"," MN","Detective"
"5095","Deputy U.S. Marshal Jirdan Louis Anders","Fri","Gunfire","Sep",1921,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"5096","Deputy Sheriff Samuel Robert Evans","Fri","Gunfire (Accidental)","Sep",1921,FALSE,"Lackawanna County Sheriff's Office"," PA","Sheriff"
"5097","City Marshal Andrew J. Collins","Sun","Gunfire","Sep",1921,FALSE,"Lyons Police Department"," GA","Marshal"
"5098","Deputy Sheriff Charles H. Forward","Sun","Gunfire","Sep",1921,FALSE,"Kent County Sheriff's Office"," MI","Sheriff"
"5099","Deputy U.S. Marshal George Wesley Adair","Sun","Gunfire","Sep",1921,FALSE,"United States Department of Justice - United States Marshals Service"," US","Marshal"
"5100","Deputy Sheriff Columbus Partin","Mon","Gunfire","Sep",1921,FALSE,"Bell County Sheriff's Department"," KY","Sheriff"
"5101","Detective Julius Gunther","Fri","Gunfire","Sep",1921,FALSE,"Gary Police Department"," IN","Detective"
"5102","Patrolman Walter A. Cavanagh","Fri","Motorcycle accident","Sep",1921,FALSE,"New York City Police Department"," NY","Patrolman"
